Record,Name,Price1L1,Tax Rate Link,PRICE NO VAT,PRICE WITHOUT MARK UP WITHOUT VAT
1,1L Semi Milk (Green),1.8,1,1.80,1.26
2,1L Whole Milk (Blue),1.8,1,1.80,1.26
3,2L Semi Milk (Green),2.3,1,2.30,1.61
4,2L Whole Milk (Blue),2.3,1,2.30,1.61
5,250g Butter Unsalted,3.3,1,3.30,2.31
6,250g Butter Salted,3.3,1,3.30,2.31
7,200g Clotted Cream,2.85,1,2.85,2.00
8,Seasisters Tin,9.99,1,9.99,6.99
9,Alpro Soya Milk,2.5,1,2.50,1.75
10,Cornish Blue 175g,4.5,1,4.50,3.15
11,Turkey Balance,0,1,0.00,0.00
12,114g Clotted Cream ,1.3,1,1.30,0.91
13,Trewithen Greek Yoghurt,2.1,1,2.10,1.47
14,1L Skim Milk (Red),1.8,1,1.80,1.26
15,Cornish Gouda Semi,4.99,1,4.99,3.49
16,2L Skim Milk (Red),2.3,1,2.30,1.61
17,Almond Milk,2.69,1,2.69,1.88
18,Oat Milk,2.75,1,2.75,1.93
19,Trink 1L,1.95,1,1.95,1.37
20,Trink 2L,3.75,1,3.75,2.63
21,Brie Wedge,3.35,1,3.35,2.35
22,FH Butterscotch ,2.15,3,1.79,1.25
23,Cornish Yarg,3.5,1,3.50,2.45
24,Davidstow Classic,3.75,1,3.75,2.63
25,BTT  Ca RedOn Gt Quiche,3,1,3.00,2.10
26,FV Vintage cider sparkli,17.5,3,14.58,10.21
27,FV Rose vintage cider sp,17.99,3,14.99,10.49
28,Small flavoured yoghurt,0.55,1,0.55,0.39
29,The Truffler,3.9,1,3.90,2.73
30,Miss Wenna,3.9,1,3.90,2.73
31,Boy Laity,3.9,1,3.90,2.73
32,Nanny Florrie,5.19,1,5.19,3.63
33,Trewithen Spreadable,3.4,1,3.40,2.38
34,Cornish Crumbly ,0,1,0.00,0.00
35,Miss Muffet,11.5,1,11.50,8.05
36,Trelawney,11.5,1,11.50,8.05
37,Nanny Muffet,0,1,0.00,0.00
38,Keltic Gold,0,1,0.00,0.00
39,Cornish Jack,6.2,1,6.20,4.34
40,Cornish cheddar waxed,6.2,1,6.20,4.34
41,Davidstow Crackler 200g,3.9,1,3.90,2.73
42,Cornish Gouda Honey + C,4.99,1,4.99,3.49
43,Cornish Gouda Cumin ,4.99,1,4.99,3.49
44,Beef Gravy Granules,1.89,1,1.89,1.32
45,Davidstow Crackler 250g,4.99,1,4.99,3.49
46,Davidstow 60 Month,7.5,1,7.50,5.25
47,BTT Roasted Red Pep Pest,3,1,3.00,2.10
48,Duchy flagon cider 1 ltr,7.5,3,6.25,4.38
49,Wild Garlic Pesto,6,1,6.00,4.20
50,Zeno 0% Wine,11.99,3,9.99,6.99
51,Lrg Granary Sliced Bread,3.25,1,3.25,2.28
52,Lrg White Sliced Bread,2.6,1,2.60,1.82
53,2 pack Baps,1.6,1,1.60,1.12
54,4 pack Saffron Buns,3.5,1,3.50,2.45
55,Lrg Sugared Doughnut,1.7,1,1.70,1.19
56,Danish,1.7,1,1.70,1.19
57,4 pack Scones,3.75,1,3.75,2.63
58,Proper Job 0.5% Alc,2.5,3,2.08,1.46
59,Cider brandy 1yr,26.99,3,22.49,15.74
60,Cider brandy 50ml,5.5,3,4.58,3.21
61,B-Skincare,0,3,0.00,0.00
62,Candles - Melts,8,3,6.67,4.67
63,Limoncello 500ml,26.99,3,22.49,15.74
64,Hedgehog,22.99,3,19.16,13.41
65,Spring Greens,0.99,1,0.99,0.69
66,Mince pies,5.5,1,5.50,3.85
67,Kitchen Roll,3.5,1,3.50,2.45
68,Yellow hen,19,3,15.83,11.08
69,Fruit Cake,3.95,1,3.95,2.77
70,Halzephron Dressing,5.5,1,5.50,3.85
71,Cherry Cake,3.95,1,3.95,2.77
72,Feeding pheasant,25,3,20.83,14.58
73,Mena Dhu,3.5,3,2.92,2.04
74,Hot Cross Buns (4),3,1,3.00,2.10
75,Furniss Lemon Shortbread,3.6,1,3.60,2.52
76,Delphi Houmous,1.35,1,1.35,0.95
77,Candles - Glass,14,3,11.67,8.17
78,Candles - Refill,12,3,10.00,7.00
79,January King,1.5,1,1.50,1.05
80,TEST 1p,0.01,1,0.01,0.01
81,Clementines,4.62,1,4.62,3.23
82,Cherry Vine Tomatoes,14.48,1,14.48,10.14
83,COS Wasabi Peanuts,5.5,3,4.58,3.21
84,Innocent Hound - Dog,3.69,1,3.69,2.58
85,Long grain rice 500g,1.3,1,1.30,0.91
86,Colwith Starch Bags,0.2,1,0.20,0.14
87,Sausages Pearce's,4.5,1,4.50,3.15
88,Burgers Pearces,4.4,1,4.40,3.08
89,Mrs D B/root Ketchup,3.3,1,3.30,2.31
90,CF Sweets Â£3.00,3,3,2.50,1.75
91,Knightor Pinot Noir,21,3,17.50,12.25
92,Unsmoked Bacon,0,1,0.00,0.00
93,All Burts 150g,2.25,3,1.88,1.31
94,Furniss cheddar biscuits,3.99,1,3.99,2.79
95,COS Pepper Cashews,5.5,3,4.58,3.21
96,COS Honey Cashews,5.5,3,4.58,3.21
97,COS Smoked Almonds,5.5,3,4.58,3.21
98,JK Sausages Pork,3.89,1,3.89,2.72
99,Wicker Basket,10,1,10.00,7.00
100,Alert pheasant,25,3,20.83,14.58
101,Asparagus British,7.5,1,7.50,5.25
102,Yellow Courgette,7.5,1,7.50,5.25
103,Corn Lard Onion & Ale,5.3,1,5.30,3.71
104,Sweets Â£2.80,2.8,3,2.33,1.63
105,10kg Washed Melody,6.99,1,6.99,4.89
106,25kg Washed Melody,13.5,1,13.50,9.45
107,Bojanges Pink 36g,7.75,3,6.46,4.52
108,PPC 3L crackling,29.99,1,29.99,20.99
109,15kg Baking BOX Potatoes,13.99,1,13.99,9.79
110,Individual Baking Potato,0.5,1,0.50,0.35
111,750g Pre-prepared Chips,1.5,1,1.50,1.05
112,5kg Wilja,3.99,1,3.99,2.79
113,25kg Wilja,12.99,1,12.99,9.09
114,12.5kg Wilja,7.99,1,7.99,5.59
115,Bojangles Gold 135g,13.79,3,11.49,8.04
116,Dried apricots,2.55,1,2.55,1.79
117,Honey clusters,2.15,1,2.15,1.51
118,Milkshake Carton,1.4,1,1.40,0.98
119,Pearl barley,0.95,1,0.95,0.67
120,Folk Rhub& Apple Can,1.5,3,1.25,0.88
121,Honey Small Jar,6.99,1,6.99,4.89
122,Knightor Portscatho,21.5,3,17.92,12.54
123,Dry Gin Refill Pouch,40,3,33.33,23.33
124,PLU,0,1,0.00,0.00
127,CP Orange,1.5,3,1.25,0.88
128,Jude's Custard (both),3.49,1,3.49,2.44
129,CK smoky garlic mayo,4.2,1,4.20,2.94
130,WOOL Firelighters,6.99,3,5.83,4.08
131,BTT Steak Pasty,3.99,1,3.99,2.79
132,BTT Cheese onion Pasty,3.99,1,3.99,2.79
133,BTT Steak Ale Mshr Pie,4.25,1,4.25,2.98
134,BTT Sausage Rolls,3.7,1,3.70,2.59
135,BTT Bac Ch Quiche,3.25,1,3.25,2.28
136,BTT Fudge Slice,1.99,1,1.99,1.39
137,BTT Millionaires Slice,1.99,1,1.99,1.39
138,BTT Carrot Cake,1.99,1,1.99,1.39
139,BTT Plain Scone,2.99,1,2.99,2.09
140,Mrs D Mint Sauce,2.85,1,2.85,2.00
141,PLU,0,1,0.00,0.00
142,PLU,3.5,3,2.92,2.04
143,Big Job,3.5,3,2.92,2.04
144,PLU,0,1,0.00,0.00
145,PLU,0,1,0.00,0.00
146,PLU,0,1,0.00,0.00
147,PLU,0,1,0.00,0.00
148,PLU,0,1,0.00,0.00
149,PLU,0,1,0.00,0.00
150,PLU,0,1,0.00,0.00
151,Unsmoked Bacon,2.99,1,2.99,2.09
152,JK Burgers,0,1,0.00,0.00
153,Hogs Pudding,0,1,0.00,0.00
154,PLU,0,1,0.00,0.00
155,Chicken Fillet (2),0,1,0.00,0.00
156,Ham,0,1,0.00,0.00
157,Smoked Bacon,0,1,0.00,0.00
158,Mince kittows,0,1,0.00,0.00
159,BBQ Pack ,9.95,1,9.95,6.97
160,PLU,0,1,0.00,0.00
161,Streaky Bacon,0,1,0.00,0.00
162,Steak Rump ,0,1,0.00,0.00
